ID,name,expression,trafficexpression,dutyexpression,premiumexpression,description,isActive,createdAt,modifiedAt,createdBy,modifiedBy,leftBenchmarkBidType,leftDevelopmentType,leftDeliveryMode,leftBidValueRange,leftExceptionalWeight,rightLocalBidType,ldorexpression
55555555-0000-0000-0000-000000000001,PO Formula 1,"bidValue + euc","0","0","0",PO Formula 1,True,2026-05-05T00:00:00Z,2026-05-05T00:00:00Z,admin,admin,A,PO,5,L,YES,E,"0"
55555555-0000-0000-0000-000000000002,PO Formula 2,"bidValue + euc","0","0","0",PO Formula 2,True,2026-05-05T00:00:00Z,2026-05-05T00:00:00Z,admin,admin,A,PO,5,L,NO,E,"0"
55555555-0000-0000-0000-000000000003,PO Formula 3,"bidValue + euc","0","0","0",PO Formula 3,True,2026-05-05T00:00:00Z,2026-05-05T00:00:00Z,admin,admin,A,PO,5,G,YES,E,"0"
55555555-0000-0000-0000-000000000004,PO Formula 4,"bidValue + euc","0","0","0",PO Formula 4,True,2026-05-05T00:00:00Z,2026-05-05T00:00:00Z,admin,admin,A,PO,5,G,NO,E,"0"
55555555-0000-0000-0000-000000000005,PO Formula 5,"bidValue + euc","0","0","0",PO Formula 5,True,2026-05-05T00:00:00Z,2026-05-05T00:00:00Z,admin,admin,A,PO,4,L,YES,E,"0"
55555555-0000-0000-0000-000000000006,PO Formula 6,"bidValue + euc","0","0","0",PO Formula 6,True,2026-05-05T00:00:00Z,2026-05-05T00:00:00Z,admin,admin,A,PO,4,L,NO,E,"0"
55555555-0000-0000-0000-000000000007,PO Formula 7,"bidValue + euc","0","0","0",PO Formula 7,True,2026-05-05T00:00:00Z,2026-05-05T00:00:00Z,admin,admin,A,PO,4,G,YES,E,"0"
55555555-0000-0000-0000-000000000008,PO Formula 8,"bidValue + euc","0","0","0",PO Formula 8,True,2026-05-05T00:00:00Z,2026-05-05T00:00:00Z,admin,admin,A,PO,4,G,NO,E,"0"
55555555-0000-0000-0000-000000000009,PO Formula 9,bidValue + traffic + euc,shippingCost + handlingCost,0,0,PO Formula 9,True,2026-05-05T00:00:00Z,2026-05-05T00:00:00Z,admin,admin,A,PO,5,L,YES,F,0
55555555-0000-0000-0000-000000000010,PO Formula 10,bidValue + traffic + euc,0.1 * bidValue,0,0,PO Formula 10,True,2026-05-05T00:00:00Z,2026-05-05T00:00:00Z,admin,admin,A,PO,5,L,NO,F,0
55555555-0000-0000-0000-000000000011,PO Formula 11,bidValue + traffic + euc,shippingCost + handlingCost,0,0,PO Formula 11,True,2026-05-05T00:00:00Z,2026-05-05T00:00:00Z,admin,admin,A,PO,5,G,YES,F,0
